# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.002    1.590150    1.590142   114.124    3.149770
  0.004    1.045625    1.045609    99.192    3.818143
  0.006    0.949525    0.949498    84.723    3.689269
  0.008    0.863163    0.863131    79.548    3.532678
  0.010    0.770675    0.770644    77.796    3.426461
  0.012    0.695563    0.695533    77.307    3.356607
  0.014    0.648125    0.648097    77.230    3.313914
  0.016    0.626488    0.626459    77.148    3.291516
  0.018    0.623125    0.623095    76.910    3.283842
  0.020    0.630888    0.630856    76.541    3.286070
