     lambda = 1.590150 (   1.590142 )  <log w>=  114.124 K  N(Ef)=  3.149770 at degauss= 0.002
     lambda = 1.045625 (   1.045609 )  <log w>=   99.192 K  N(Ef)=  3.818143 at degauss= 0.004
     lambda = 0.949525 (   0.949498 )  <log w>=   84.723 K  N(Ef)=  3.689269 at degauss= 0.006
     lambda = 0.863163 (   0.863131 )  <log w>=   79.548 K  N(Ef)=  3.532678 at degauss= 0.008
     lambda = 0.770675 (   0.770644 )  <log w>=   77.796 K  N(Ef)=  3.426461 at degauss= 0.010
     lambda = 0.695563 (   0.695533 )  <log w>=   77.307 K  N(Ef)=  3.356607 at degauss= 0.012
     lambda = 0.648125 (   0.648097 )  <log w>=   77.230 K  N(Ef)=  3.313914 at degauss= 0.014
     lambda = 0.626488 (   0.626459 )  <log w>=   77.148 K  N(Ef)=  3.291516 at degauss= 0.016
     lambda = 0.623125 (   0.623095 )  <log w>=   76.910 K  N(Ef)=  3.283842 at degauss= 0.018
     lambda = 0.630888 (   0.630856 )  <log w>=   76.541 K  N(Ef)=  3.286070 at degauss= 0.020
lambda        omega_log          T_c
   1.59015       114.124             13.725
   1.04563        99.192              7.384
   0.94952        84.723              5.434
   0.86316        79.548              4.321
   0.77067        77.796              3.372
   0.69556        77.307              2.647
   0.64813        77.230              2.203
   0.62649        77.148              2.003
   0.62312        76.910              1.966
   0.63089        76.541              2.027
